Key,Value
audit-logs-user-activity-description,يظهر هذا التقرير السجلات التدقيق وأنشطة المستخدمين
audit-logs-over-time,السجلات التدقيق مع الوقت
user-actions-breakdown,تفصيل أنشطة المستخدمين
user-role,الدور الوظيفي
action-type,نوع العملية
put-the-correct-order-of-the-answers,ضع الترتيب الصحيح للإجابات
note,ملاحظة
users,المستخدمين
manager,المدراء
creatorOrAuditor,معد اسئلة او مدقق
managerLogin,مدير
confirm-delete,تأكيد الحذف
edit-subject,تعديل المواد
save,حفظ
edit-topic,تعديل موضوع
college,الكلية
question_dashboard,احصائيات الاسئلة
question_dashboard_description,يظهر هذا التقرير احصائيات الاسئلة
question_performance_analysis,تحليل أداء الأسئلة
question_approval_and_rejection_report,تقرير الموافقة على السؤال ورفضه
number_of_questions_asked,عدد الاسئلة المطروحة
evaluation_speed_trends,اتجاهات سرعة التقييم
exam_dashboard,احصائيات الامتحان
exam_dashboard_description,يظهر هذا التقرير احصائيات الامتحان
student_registration_report,تقرير تسجيل المسجلين
student_performance_in_exam,أداء الطالب في الامتحان
exam_supervision,مراقبة الامتحانات
exam_supervision_report_description,يظهر هذا التقرير المراقبة الامتحانية
exam_supervision_report,تقرير المراقبة الامتحانية
live_exam_count,عدد الامتحانات الحقيقية
total_exam,اجمالي الامتحانات
admin_dashboard,مراقبة النظام
admin_dashboard_description,يظهر هذا التقرير مراقبة النظام
total_number_of_employees,اجمالي عدد الموظفين
total_number_of_students,اجمالي عدد المسجلين
total_number_of_examinations_established,عدد الامتحانات الحالية
exams_rejected_by_the_committee,الامتحانات المرفوضة من قبل اللجنة
the_number_of_exams_that_have_not_been_conducted,الامتحانات التي لم يتم تنفيذها
the_number_of_exams_conducted,عدد الامتحانات الحالية
student_participation,مشاركة المسجلين
absent,غائب
present,حاضر
exam_center_seat_usage,استخدام مقاعد مركز الامتحان
real_time_seat_allocation,تخصيص المقاعد في الوقت الفعلي
question_success_rate,معدل نجاح الأسئلة
most_difficult_questions,أصعب الأسئلة
series-1,السلسلة 1
series-2,السلسلة 2
exam_efficiency,احصائيات الامتحانات
without_cheating,بدون غش
cheating,غش
student_participation_description,من بين 75 طالبًا شاركوا في الامتحانات
detected_cheating,حالات الغش المكتشفة
detected_cheating_multi_faces,تم الكشف عن وجوه متعددة
detected_cheating_tab_switching,تبديل التبويبات
at_the_college_level,على مستوى الكلية
system_insights,اداء النظام
system_insights_report_description,يعرض هذا التقرير رؤى النظام
api_response_times,أوقات استجابة API
user_actions_breakdown,تفصيل إجراءات المستخدم
audit_logs_over_time,سجلات التدقيق بمرور الوقت
server_load,حمل الخادم
average_exam_scores,متوسط نتائج الامتحانات
arrived,وصل
absence,غياب
exam_attendance_breakdown,تفصيل وصول الامتحان
absent_students,المسجلين الغائبين
attendance_rate,نسبة الحضور
user_activity_over_time,نشاط المستخدم بمرور الوقت
series1,السلسلة 1
series2,السلسلة 2
total_exam_statistics,اجمالي تقارير الامتحانات
dashboard_director_of_the_system,واجهة الاحصائيات
export_reports,تصدير التقارير
time_for_the_exams,وقت الامتحان
number_of_completed_exams,عدد الامتحانات المكتملة
success_rate_in_exams,نسبة النجاح في الامتحانات
number_of_students_who_took_the_exam,عدد المسجلين الذين تقدموا للامتحان
number_of_students_who_passed_it,عدد المسجلين الذين اجتازوه
goal_overview,نظرة عامة على الهدف
student_dashboard,احصائيات المسجلين
student_dashboard_description,يظهر هذا التقرير احصائيات المسجلين
student_dashboard_header,الصفحة الرئيسية لعرض الامتحانات
student_dashboard_header_description,لعرض الامتحانات التي تم اكمالها وقيد التقدم
todays_exams,امتحانات اليوم
not_perform_it,تم الغاءها
did_not_perform_it,لم ينفذها
performed,امتحانات مكتملة
successful,ناجح
deposit,إيداع
total_subjects,مجموع المواضيع
start_mock_exam,بدء الامتحان التجريبي
login,تسجيل الدخول
enter-your-email-below-to-login-to-your-account,أدخل بريدك الإلكتروني أدناه لتسجيل الدخول إلى حسابك
ministry-of-higher-education,وزارة التعليم العالي والبحث العلمي
ems-is-a-digital-platform-by-the-iraqi-ministry-of-education-designed-to-simplify-academic-management-enhance-learning-and-provide-easy-access-to-educational-data-for-students-teachers-and-administrators,هو منصة رقمية من قبل وزارة التعليم العراقية ، مصممة لتبسيط الإدارة الأكاديمية ، وتعزيز التعلم ، وتوفير سهولة الوصول إلى البيانات التعليمية للطلاب والمعلمين والمسؤول.
fill-email,ملء البريد الإلكتروني
exam_efficiency_report_description,يظهر هذا التقرير كفاءة الامتحان
edit-question-bank,تعديل بنك الاسئلة
exam-schedule,تقويم الامتحانات
filters_title,البحث بواسطة :  
max_grade,الى درجة نجاح 
min_grade,من درجة نجاح
max_date,الى تاريخ
min_date,من تاريخ
username-or-password-is-incorrect,اسم المستخدم أو كلمة المرور غير صحيح
questions-banks,بنوك الاسئلة
exams-management,أدارة الامتحانات
dashboards,الاحصائيات
settings,اعدادات النظام
delete-topic,حذف الموضوع
are-sure-deleting-this-topic-from-question-bank,هل انت متأكد من حذف هذا الموضوع م بنك الاسئلة
delete-topic-description,سيتم حذف الموضوع بكل محتوياته ، إذا كان هناك أي سؤال داخل الموضوع ، فلن يتم حذفه.
add-topic,اضافة موضوع
edit-examination-center,تعديل المركز الامتحاني
view_less,عرض أقل
view_all,عرض الكل
no_structures_found,لا توجد هياكل لإظهارها
blueprint_details,تفاصيل المخطط
blueprint_details_description,يظهر هذا التقرير تفاصيل المخطط
exam_hall,قاعة الامتحان
start_time,وقت البدء
end_time,وقت الانتهاء
starting_date,تاريخ البدء
ending_date,تاريخ الانتهاء
duration_by_Minutes,المدة بالدقائق
allowed_time_for_entrance,الوقت المسموح للدخول
exam_type,نوع الامتحان
student_count,عدد المسجلين
exam_details,تفاصيل الامتحان
delete-option,حذف الخيار
selected-organizational-structure,الاقسام المحددة
edit_exam,تعديل الامتحان
reschedule, إعادة جدولة
exam_already_started_no_changes,الامتحان قد بدأ بالفعل ولا يمكن إجراء أي تغييرات
cancel_exam,إلغاء الامتحان
please-fill-in-the-required-fields,يجب إدخال نوع السؤال، مستوى الصعوبة، مستوى المحاور
total-grade-must-equal-maximum-grade,الدرجة الكلية يجب ان تساوي الدرجة الحد الاقصى
add-grades,إضافة درجات
curve,الدرجة المضافة
class-average,متوسط الصف
add-a-grades-for-all-student,إضافة درجات لجميع المسجلين
add-grades-for-all-student-based-on-the-average,إضافة درجات لجميع المسجلين بناءً على المتوسط
curve-grade,متوسط الدرجات
tags,العلامات
you_cannot_add_questions_outside_the_allowed_time_window,لا يمكنك إضافة أسئلة خارج الفترة الزمنية المسموح بها
you_cannot_edit_questions_outside_the_allowed_time_window,لا يمكنك تعديل الأسئلة خارج الفترة الزمنية المسموح بها
you_cannot_save_changes_outside_the_allowed_time_window,لا يمكنك حفظ التغييرات خارج الفترة الزمنية المسموح بها
you_cannot_update_questions_outside_the_allowed_time_window,لا يمكنك تحديث الأسئلة خارج الفترة الزمنية المسموح بها
creation-start-date,تاريخ بدء الإنشاء
creation-end-date,تاريخ انتهاء الإنشاء
exam-instructions,تعليمات الامتحان
fill-creation-period-dates-optional,تواريخ إنشاء فترة إنشاء الاسئلة (اختياري)
creation-period,فترة الانشاء 
failed,راسب
organizational-structure,جامعة
import-questions,استيراد الأسئلة
select-question-type,اختر نوع السؤال
excel-file,ملف Excel
questions-imported-successfully,تم استيراد الأسئلة بنجاح
upload-file,تحميل الملف
selected-file,الملف المحدد
categories,التصنيفات
category,الفئة
create_and_manage_categories,إنشاء وإدارة الفئات
add_new_category,إضافة فئة جديدة
create_new_category,إنشاء فئة جديدة
category_name,اسم الفئة
edit_category,تعديل التصنيفات
subject_code,الرمز
subject_english_name,الاسم باللغة الإنجليزية
validation,[object Object]
end-date-before-start-date,لا يمكن أن يكون تاريخ الانتهاء قبل تاريخ البدء
end-time-before-start-time,يجب أن يكون وقت الانتهاء بعد وقت البدء
form-has-errors,يرجى تصحيح الأخطاء في النموذج
select-a-position,اختر منصبًا
select-a-course,اختر الدورة الدراسية
select-categories,حدد تصنيف البنك
has_curve,الدرجة المضافة
no_data_available_for_selected_period,لا يوجد بيانات بالفترة المحددة
image_preview,معاينة الصورة
image_uploading,جاري تحميل الصورة...
image_upload_success,تم تحميل الصورة بنجاح!
image_upload_failed,فشل في تحميل الصورة
delete_image,حذف الصورة
end_before_start_date_error,جدول غير صالح: لا يمكن أن يكون تاريخ/وقت انتهاء الامتحان قبل تاريخ/وقت البدء
same_day_time_error,توقيت غير صالح: للامتحانات في نفس اليوم، يجب أن يكون وقت الانتهاء بعد وقت البدء
half-success-grade,درجة النجاح
required,مطلوب
success,[object Object]
search-employee,بحث عن موظف
search-organization,البحث في الهيكل التنظيمي
max-capacity,عدد المقاعد الكلية ( الحد الاقصى )
assign-exam-center-manager,تعيين مدير للمركز
exam-center-managers,مدراء مراكز امتحانية
surrogate-managers,المدراء البديلين
exam-center-manager,مدير المركز
surrogate-manager,اسم المدير البديل
evaulation-proficiency-description,تظهر إعدادات خاصة بامتحانات الكفاءة، مثل السعر، وعدد المحاولات المسموح بها، وغيرها من التفاصيل ذات الصلة.
final-description,تظهر إعدادات خاصة بالامتحان التقويمي، ويتم جلب بيانات المسجلين حصريًا من خلال نظام إدارة معلومات الطلبة (SIS).
view-examination-center,رؤية تفاصيل المركز
create-hall,انشاء قاعة
edit-hall,تعديل القاعة
halls,قاعات المركز
assign-supervisor,تعيين مراقب للقاعة
supervisor,مراقب القاعة
incoming,قادم
statistics,الاحصائيات
back-to-examination-centers,العودة إلى المراكز
exam-center-overview,رؤية تفاصيل المركز
manage-examination-center-exams,إدارة الامتحانات في المركز
examination-center-exams,الامتحانات في المركز
generate-otp,كلمة مرور الامتحان للطالب
scan-qr-code-instruction,امسح رمز الاستجابة السريعة لإنتاج كلمة المرور
scan-qr-code-description,ضع رمز الاستجابة السريعة داخل إطار الكاميرا لمسحه تلقائياً وإنتاج كلمة مرور
camera-preview,ستظهر معاينة الكاميرا هنا
start-scanning,بدء المسح
stop-scanning,إيقاف المسح
qr-code-scanned-successfully,تم مسح رمز الاستجابة السريعة بنجاح، قم بأعطاء هذا الرمز الى الطالب ليتمكن من بدأ الامتحان!
loading-otp,يتم تحميل الرمز السريع...
unpaid,غير مدفوع
paid,مدفوع
document-number,رقم الهوية
exam-date,تاريخ الامتحان
report-issue,ابلاغ عن مشكلة
time-remaining-for-exam,الوقت المتبقي لأنتهاء للامتحان
hour,ساعة
minute,دقيقة
second,ثانية
exam-time-expired,انتهى وقت الامتحان
all-students,جميع المسجلين
present-students,المسجلين الحاضرين
absent-students,المسجلين الغائبين
blacklisted-students,المسجلين المدرجون في القائمة السوداء
attendance-status,حالة الحضور
exam-status,حالة الامتحان
remaining-time,الوقت المتبقي
progress,التقدم
checkedInDate,وقت الدخول
time-remaining-for-start-exam,الوقت المتبقي لبدء الامتحان 
manager-signature,إدخال التوقيع الشخصي
signature-instructions,التوقيع الرقمي
signature-instructions-desc,يرجى إدخال توقيعك الرقمي ليتم استخدامه في الشهادات الرسمية الخاصة بالامتحانات.
clear,مسح
draw-signature-above,ارسم توقيعك في الصندوق أعلاه
signature-required,التوقيع مطلوب قبل الحفظ
signature-saved-successfully,تم حفظ التوقيع بنجاح
error-saving-signature,خطأ في حفظ التوقيع. يرجى المحاولة مرة أخرى.
signature-file-uploaded,تم رفع ملف التوقيع بنجاح
load-signature-from-file,تحميل التوقيع من ملف
signature-preview,معاينة التوقيع
signature-image,صورة التوقيع
signature-loaded-successfully,تم تحميل التوقيع بنجاح
error-loading-signature,خطأ في تحميل التوقيع من الملف
invalid-file-type,نوع ملف غير صحيح. يرجى اختيار ملف صورة.
signature-exported-successfully,تم تصدير التوقيع بنجاح
error-exporting-signature,خطأ في تصدير التوقيع
signature-component-not-available,مكون التوقيع غير متاح
error-converting-signature,خطأ في تحويل التوقيع إلى ملف
put-the-pointer-inside-the-box-below,ضع المؤشر داخل الصندوق أدناه
use-the-mouse-or-touch-screen-to-draw-your-signature,استخدم الماوس أو شاشة اللمس لرسم توقيعك
if-the-signature-is-not-clear-you-can-press-the-clear-button-to-try-again,إذا لم يكن التوقيع واضحاً، يمكنك الضغط على زر المسح للمحاولة مرة أخرى
after-completing-press-the-save-button-to-confirm-it-in-the-certificates,بعد الانتهاء، اضغط على زر الحفظ لتأكيده في الشهادات
student-status,حالة الطالب في الامتحان
generate-supervisor-otp,إنشاء رمز المشرف لأنهاء الامتحان
supervisor-otp-title,إنشاء رمز المشرف
supervisor-otp-description,انقر على الزر أدناه لإنشاء كلمة مرور لمرة واحدة للوصول للمشرف
generating-supervisor-otp,جارٍ إنشاء رمز المشرف...
supervisor-otp-generated,تم إنشاء رمز المشرف بنجاح!
supervisor-otp-code,رمز المشرف
supervisor-otp-instructions,شارك هذا الرمز مع المشرف للمصادقة
generate-new-otp,إنشاء رمز جديد
try-again,حاول مرة أخرى
close,إغلاق
mark-as-cheating,تأشير كـ حالة غش
blacklist-student,إدراج في القائمة السوداء
student-details,تفاصيل الطالب
blacklist-warning,تحذير: هذا الإجراء سيؤدي إلى إدراج الطالب نهائياً في القائمة السوداء ومنعه من دخول الامتحانات. لا يمكن التراجع عن هذا الإجراء.
blacklist-reason,سبب الإدراج في القائمة السوداء
enter-blacklist-reason,يرجى إدخال سبب إدراج هذا الطالب في القائمة السوداء...
manage-blacklisted-students,إدارة المسجلين المدرجين في القائمة السوداء
unblacklist-student,إزالة من القائمة السوداء
unblacklist,إزالة من القائمة السوداء
unblacklist-reason,سبب الإزالة من القائمة السوداء
enter-unblacklist-reason,يرجى إدخال سبب إزالة هذا الطالب من القائمة السوداء...
unblacklist-warning,هذا الإجراء سيؤدي إلى إزالة الطالب من القائمة السوداء والسماح له بدخول الامتحانات مرة أخرى.
search-student-name,البحث باسم الطالب
search-exam-center,البحث بمركز الامتحان
blacklisted-date,تاريخ الإدراج في القائمة السوداء
blacklisted,مدرج في القائمة السوداء
unblacklisted,تم إزالته من القائمة السوداء
all,الكل
view-details,عرض التفاصيل
blacklist,القائمة السوداء
dialogue,القطعة
sub-questions,الاسئلة الفرعية
sub-question,السؤال الفرعي
sub-question-title,عنوان السؤال الفرعي
add-sub-question,إضافة سؤال فرعي
add-first-sub-question,إضافة سؤال فرعي أول
no-sub-questions,لا يوجد أسئلة فرعية
add-sub-questions-to-create-dialogue,إضافة اسئلة فرعية لإنشاء القطعة
this-dialogue-has-no-sub-questions,لا يوجد أسئلة فرعية لهذا القطعة
show-alternate-title,عرض العنوان باللغة الإنكليزية
alternate-title,العنوان باللغة الإنكليزية
enter-alternate-title,أدخل العنوان باللغة الإنكليزية
no-answer-provided,لا يوجد إجابة
sunday,الأحد
monday,الاثنين
tuesday,الثلاثاء
wednesday,الأربعاء
thursday,الخميس
friday,الجمعة
saturday,السبت
available-days,الأيام المتاحة
reshuffle-questions,اعادة خلط الاسئلة 
no-supervisors-selected,لم يتم تحديد مراقبين بعد
assign-supervisors,تعيين المراقبين
supervisors,المراقبين المحددين